groupid,groupname,description,createddate,guideid
303,Group_303,Fun group,2025-06-14,120
304,Group_304,Fun group,2025-06-13,452
305,Group_305,Fun group,2025-04-27,64
306,Group_306,Fun group,2025-04-22,2
307,Group_307,Fun group,2025-09-08,237
308,Group_308,Fun group,2025-06-11,258
309,Group_309,Fun group,2025-01-14,239
310,Group_310,Fun group,2025-07-19,73
311,Group_311,Fun group,2025-06-10,44
312,Group_312,Fun group,2025-03-24,373
313,Group_313,Fun group,2025-09-14,440
314,Group_314,Fun group,2025-04-23,319
315,Group_315,Fun group,2025-05-26,299
316,Group_316,Fun group,2025-11-22,193
317,Group_317,Fun group,2025-11-11,490
318,Group_318,Fun group,2025-11-18,273
319,Group_319,Fun group,2025-05-30,248
320,Group_320,Fun group,2025-11-25,477
321,Group_321,Fun group,2025-02-18,87
322,Group_322,Fun group,2025-11-10,293
323,Group_323,Fun group,2025-03-10,11
324,Group_324,Fun group,2025-08-24,102
325,Group_325,Fun group,2025-03-24,95
326,Group_326,Fun group,2025-06-15,322
327,Group_327,Fun group,2025-07-11,107
328,Group_328,Fun group,2025-11-25,408
329,Group_329,Fun group,2025-01-22,475
330,Group_330,Fun group,2025-10-11,26
331,Group_331,Fun group,2025-03-19,75
332,Group_332,Fun group,2025-03-06,87
333,Group_333,Fun group,2025-12-10,232
334,Group_334,Fun group,2025-08-20,487
335,Group_335,Fun group,2025-06-02,58
336,Group_336,Fun group,2025-07-28,149
337,Group_337,Fun group,2025-08-04,146
338,Group_338,Fun group,2025-02-04,165
339,Group_339,Fun group,2025-03-03,188
340,Group_340,Fun group,2025-05-21,297
341,Group_341,Fun group,2025-11-06,47
342,Group_342,Fun group,2025-11-12,428
343,Group_343,Fun group,2025-04-04,200
344,Group_344,Fun group,2025-11-11,283
345,Group_345,Fun group,2025-09-06,385
346,Group_346,Fun group,2025-06-05,489
347,Group_347,Fun group,2025-08-10,473
348,Group_348,Fun group,2025-02-04,373
349,Group_349,Fun group,2025-03-31,187
350,Group_350,Fun group,2025-10-15,328
351,Group_351,Fun group,2025-04-06,56
352,Group_352,Fun group,2025-03-31,170
353,Group_353,Fun group,2025-01-16,448
354,Group_354,Fun group,2025-01-02,51
355,Group_355,Fun group,2025-06-15,357
356,Group_356,Fun group,2025-03-28,98
357,Group_357,Fun group,2025-11-16,255
358,Group_358,Fun group,2025-09-16,59
359,Group_359,Fun group,2025-08-19,270
360,Group_360,Fun group,2025-11-21,176
361,Group_361,Fun group,2025-07-30,427
362,Group_362,Fun group,2025-10-14,408
363,Group_363,Fun group,2025-10-17,471
364,Group_364,Fun group,2025-05-15,129
365,Group_365,Fun group,2025-01-15,160
366,Group_366,Fun group,2025-05-07,214
367,Group_367,Fun group,2025-07-26,234
368,Group_368,Fun group,2025-10-20,376
369,Group_369,Fun group,2025-07-10,172
370,Group_370,Fun group,2025-06-10,192
371,Group_371,Fun group,2025-09-24,377
372,Group_372,Fun group,2025-02-08,332
373,Group_373,Fun group,2025-07-29,113
374,Group_374,Fun group,2025-02-22,326
375,Group_375,Fun group,2025-09-26,330
376,Group_376,Fun group,2025-05-05,421
377,Group_377,Fun group,2025-01-23,95
378,Group_378,Fun group,2025-02-18,183
379,Group_379,Fun group,2025-10-06,177
380,Group_380,Fun group,2025-07-24,490
381,Group_381,Fun group,2025-09-05,188
382,Group_382,Fun group,2025-06-06,269
383,Group_383,Fun group,2025-09-20,279
384,Group_384,Fun group,2025-12-19,384
385,Group_385,Fun group,2025-07-29,280
386,Group_386,Fun group,2025-11-26,208
387,Group_387,Fun group,2025-12-25,388
388,Group_388,Fun group,2025-07-03,82
389,Group_389,Fun group,2025-09-15,102
390,Group_390,Fun group,2025-10-08,373
391,Group_391,Fun group,2025-01-23,304
392,Group_392,Fun group,2025-07-11,24
393,Group_393,Fun group,2025-08-19,259
394,Group_394,Fun group,2025-12-11,186
395,Group_395,Fun group,2025-01-04,238
396,Group_396,Fun group,2025-05-16,446
397,Group_397,Fun group,2025-09-13,467
398,Group_398,Fun group,2025-08-03,110
399,Group_399,Fun group,2025-06-30,229
400,Group_400,Fun group,2025-11-25,458
401,Group_401,Fun group,2025-04-18,71
402,Group_402,Fun group,2025-06-01,164
403,Group_403,Fun group,2025-06-23,118
404,Group_404,Fun group,2025-01-11,270
405,Group_405,Fun group,2025-03-02,331
406,Group_406,Fun group,2025-10-13,235
407,Group_407,Fun group,2025-03-29,52
408,Group_408,Fun group,2025-05-18,101
409,Group_409,Fun group,2025-04-02,50
410,Group_410,Fun group,2025-05-17,34
411,Group_411,Fun group,2025-11-17,221
412,Group_412,Fun group,2025-03-02,178
413,Group_413,Fun group,2025-09-09,281
414,Group_414,Fun group,2025-03-22,205
415,Group_415,Fun group,2025-07-06,420
416,Group_416,Fun group,2025-01-19,273
417,Group_417,Fun group,2025-06-15,453
418,Group_418,Fun group,2025-11-17,35
419,Group_419,Fun group,2025-12-26,289
420,Group_420,Fun group,2025-07-02,177
421,Group_421,Fun group,2025-02-20,214
422,Group_422,Fun group,2025-08-10,202
423,Group_423,Fun group,2025-08-08,251
424,Group_424,Fun group,2025-10-17,8
425,Group_425,Fun group,2025-05-30,344
426,Group_426,Fun group,2025-06-29,173
427,Group_427,Fun group,2025-12-04,496
428,Group_428,Fun group,2025-02-26,19
429,Group_429,Fun group,2025-06-29,27
430,Group_430,Fun group,2025-12-13,235
431,Group_431,Fun group,2025-09-20,445
432,Group_432,Fun group,2025-04-03,353
433,Group_433,Fun group,2025-03-09,4
434,Group_434,Fun group,2025-01-02,132
435,Group_435,Fun group,2025-08-19,246
436,Group_436,Fun group,2025-10-17,258
437,Group_437,Fun group,2025-03-19,81
438,Group_438,Fun group,2025-08-24,469
439,Group_439,Fun group,2025-12-10,221
440,Group_440,Fun group,2025-12-23,480
441,Group_441,Fun group,2025-05-01,446
442,Group_442,Fun group,2025-10-19,87
443,Group_443,Fun group,2025-03-29,246
444,Group_444,Fun group,2025-03-19,127
445,Group_445,Fun group,2025-11-26,72
446,Group_446,Fun group,2025-09-21,316
447,Group_447,Fun group,2025-10-01,383
448,Group_448,Fun group,2025-09-28,226
449,Group_449,Fun group,2025-03-29,107
450,Group_450,Fun group,2025-06-29,397
451,Group_451,Fun group,2025-10-02,109
452,Group_452,Fun group,2025-04-10,195
453,Group_453,Fun group,2025-01-17,135
454,Group_454,Fun group,2025-04-05,201
455,Group_455,Fun group,2025-10-10,97
456,Group_456,Fun group,2025-05-08,338
457,Group_457,Fun group,2025-01-30,461
458,Group_458,Fun group,2025-03-22,243
459,Group_459,Fun group,2025-09-29,319
460,Group_460,Fun group,2025-07-26,234
461,Group_461,Fun group,2025-07-25,357
462,Group_462,Fun group,2025-01-12,183
463,Group_463,Fun group,2025-12-18,301
464,Group_464,Fun group,2025-11-16,204
465,Group_465,Fun group,2025-05-02,171
466,Group_466,Fun group,2025-08-21,422
467,Group_467,Fun group,2025-06-24,215
468,Group_468,Fun group,2025-02-15,199
469,Group_469,Fun group,2025-10-20,163
470,Group_470,Fun group,2025-10-26,66
471,Group_471,Fun group,2025-05-28,260
472,Group_472,Fun group,2025-09-08,234
473,Group_473,Fun group,2025-10-13,209
474,Group_474,Fun group,2025-06-14,99
475,Group_475,Fun group,2025-01-04,31
476,Group_476,Fun group,2025-03-15,104
477,Group_477,Fun group,2025-11-26,469
478,Group_478,Fun group,2025-04-07,339
479,Group_479,Fun group,2025-03-24,122
480,Group_480,Fun group,2025-02-13,427
481,Group_481,Fun group,2025-05-20,491
482,Group_482,Fun group,2025-05-20,419
483,Group_483,Fun group,2025-04-25,465
484,Group_484,Fun group,2025-04-23,189
485,Group_485,Fun group,2025-03-11,214
486,Group_486,Fun group,2025-10-08,40
487,Group_487,Fun group,2025-07-10,114
488,Group_488,Fun group,2025-02-10,408
489,Group_489,Fun group,2025-12-03,496
490,Group_490,Fun group,2025-08-26,192
491,Group_491,Fun group,2025-10-10,330
492,Group_492,Fun group,2025-03-12,239
493,Group_493,Fun group,2025-05-08,123
494,Group_494,Fun group,2025-11-07,440
495,Group_495,Fun group,2025-01-13,298
496,Group_496,Fun group,2025-08-25,244
497,Group_497,Fun group,2025-06-24,80
498,Group_498,Fun group,2025-04-26,477
499,Group_499,Fun group,2025-09-12,306
500,Group_500,Fun group,2025-06-23,152
