registrationid,registrationdate,eventid
332,2026-01-23,401
333,2026-09-20,81
334,2026-10-31,156
335,2026-05-26,420
336,2026-01-11,272
337,2026-08-09,219
338,2026-04-21,361
339,2026-08-15,373
340,2026-08-16,374
341,2026-03-13,277
342,2026-07-14,326
343,2026-04-08,199
344,2026-07-30,119
345,2026-04-29,75
346,2026-09-07,128
347,2026-07-28,44
348,2026-05-05,432
349,2026-06-19,473
350,2026-04-29,23
351,2026-09-17,40
352,2026-10-05,153
353,2026-09-03,420
354,2026-06-01,54
355,2026-01-20,8
356,2026-07-22,220
357,2026-05-25,481
358,2026-05-05,387
359,2026-11-28,341
360,2026-05-13,279
361,2026-06-05,178
362,2026-06-07,381
363,2026-07-03,141
364,2026-12-26,429
365,2026-02-19,69
366,2026-06-13,333
367,2026-08-14,231
368,2026-02-03,40
369,2026-09-27,82
370,2026-12-22,74
371,2026-12-04,354
372,2026-06-06,302
373,2026-09-05,236
374,2026-12-19,46
375,2026-11-07,248
376,2026-04-15,320
377,2026-04-22,492
378,2026-01-13,432
379,2026-08-29,19
380,2026-06-16,195
381,2026-10-18,212
382,2026-07-26,154
383,2026-01-30,332
384,2026-04-14,176
385,2026-05-09,59
386,2026-10-24,44
387,2026-09-11,347
388,2026-02-11,179
389,2026-05-09,466
390,2026-11-06,316
391,2026-03-27,400
392,2026-11-10,36
393,2026-07-26,469
394,2026-09-04,193
395,2026-06-23,131
396,2026-05-21,251
397,2026-12-26,179
398,2026-05-23,164
399,2026-05-08,31
400,2026-02-03,366
401,2026-03-22,470
402,2026-09-20,400
403,2026-06-06,8
404,2026-01-30,386
405,2026-10-25,118
406,2026-08-12,27
407,2026-05-31,8
408,2026-12-13,299
409,2026-04-27,53
410,2026-09-16,239
411,2026-01-19,348
412,2026-05-15,364
413,2026-05-07,492
414,2026-11-28,128
415,2026-08-05,318
416,2026-09-05,406
417,2026-10-26,9
418,2026-04-08,21
419,2026-05-19,426
420,2026-11-19,94
421,2026-11-06,28
422,2026-08-23,256
423,2026-12-30,70
424,2026-07-16,206
425,2026-05-18,46
426,2026-12-30,231
427,2026-04-22,322
428,2026-04-08,442
429,2026-01-22,15
430,2026-04-14,117
431,2026-10-28,35
432,2026-11-21,264
433,2026-04-15,80
434,2026-09-26,24
435,2026-11-26,241
436,2026-04-06,14
437,2026-06-01,363
438,2026-06-13,428
439,2026-09-09,142
440,2026-02-22,413
441,2026-12-25,225
442,2026-07-03,495
443,2026-08-22,495
444,2026-07-31,23
445,2026-03-31,351
446,2026-09-15,95
447,2026-02-02,78
448,2026-01-13,131
449,2026-12-12,378
450,2026-11-07,407
451,2026-08-07,212
452,2026-12-17,309
453,2026-01-30,410
454,2026-07-15,164
455,2026-04-11,241
456,2026-05-29,283
457,2026-05-05,317
458,2026-01-26,23
459,2026-08-09,201
460,2026-10-28,124
461,2026-03-01,304
462,2026-01-17,296
463,2026-01-07,240
464,2026-03-26,23
465,2026-06-17,394
466,2026-07-15,36
467,2026-01-01,22
468,2026-03-31,152
469,2026-12-27,199
470,2026-01-07,168
471,2026-09-06,351
472,2026-03-16,399
473,2026-09-24,148
474,2026-07-17,16
475,2026-03-02,13
476,2026-06-09,173
477,2026-12-22,405
478,2026-10-09,338
479,2026-08-18,270
480,2026-04-26,62
481,2026-04-24,433
482,2026-01-09,178
483,2026-08-02,485
484,2026-11-07,485
485,2026-01-27,52
486,2026-02-21,18
487,2026-09-01,4
488,2026-04-10,390
489,2026-09-08,112
490,2026-08-12,474
491,2026-12-24,283
492,2026-06-19,42
493,2026-12-31,443
494,2026-12-06,255
495,2026-10-14,213
496,2026-05-24,322
497,2026-02-28,134
498,2026-05-24,9
499,2026-12-22,33
500,2026-09-07,361
501,2026-08-17,82
502,2026-10-13,330
503,2026-06-18,335
504,2026-06-05,398
505,2026-03-14,15
506,2026-02-28,167
507,2026-03-16,468
508,2026-12-28,260
509,2026-10-17,3
510,2026-08-08,167
511,2026-08-09,29
512,2026-12-07,1
513,2026-11-01,337
514,2026-11-23,321
515,2026-09-27,110
516,2026-08-20,234
517,2026-03-07,242
518,2026-10-02,4
519,2026-01-07,500
520,2026-12-03,208
521,2026-05-29,62
522,2026-05-06,375
523,2026-07-09,362
524,2026-01-29,331
525,2026-01-30,43
526,2026-12-12,372
527,2026-11-13,489
528,2026-05-05,355
529,2026-04-12,177
530,2026-09-01,423
531,2026-11-11,410
532,2026-11-08,188
533,2026-09-24,242
534,2026-01-31,281
535,2026-08-02,190
536,2026-02-15,247
537,2026-09-27,25
538,2026-07-06,161
539,2026-10-02,349
540,2026-10-16,166
541,2026-08-23,333
542,2026-08-16,342
543,2026-05-28,364
544,2026-08-14,220
545,2026-09-03,61
546,2026-06-11,310
547,2026-12-23,331
548,2026-12-01,422
549,2026-09-03,432
550,2026-02-21,290
551,2026-03-25,161
552,2026-11-08,361
553,2026-12-30,64
554,2026-01-06,125
555,2026-05-24,173
556,2026-10-12,96
557,2026-12-18,417
558,2026-04-21,364
559,2026-12-18,230
560,2026-05-11,476
561,2026-07-26,441
562,2026-07-22,219
563,2026-07-29,288
564,2026-02-20,460
565,2026-10-09,342
566,2026-01-03,323
567,2026-01-10,118
568,2026-07-24,43
569,2026-08-31,342
570,2026-08-17,352
571,2026-11-10,200
572,2026-09-12,74
573,2026-01-13,236
574,2026-09-20,31
575,2026-01-03,333
576,2026-05-11,332
577,2026-01-21,244
578,2026-04-02,244
579,2026-03-03,497
580,2026-04-01,218
581,2026-10-21,287
582,2026-10-20,30
583,2026-03-08,61
584,2026-12-19,127
585,2026-01-28,395
586,2026-04-10,198
587,2026-11-04,31
588,2026-02-12,166
589,2026-10-27,118
590,2026-11-20,206
591,2026-10-16,18
592,2026-11-05,197
593,2026-11-23,194
594,2026-11-21,264
595,2026-09-15,172
596,2026-11-30,154
597,2026-02-19,46
598,2026-08-07,406
599,2026-10-13,326
600,2026-03-19,274
601,2026-05-02,94
602,2026-05-07,460
603,2026-09-23,355
604,2026-03-19,434
605,2026-07-15,273
606,2026-07-23,204
607,2026-01-19,225
608,2026-06-18,396
609,2026-02-22,143
610,2026-07-28,425
611,2026-04-12,178
612,2026-06-23,221
613,2026-08-09,197
614,2026-06-04,272
615,2026-05-23,240
616,2026-11-01,46
617,2026-10-02,451
618,2026-04-29,395
619,2026-12-02,405
620,2026-12-04,118
621,2026-06-16,304
622,2026-07-08,26
623,2026-12-31,72
624,2026-03-29,166
625,2026-04-30,195
626,2026-07-09,285
627,2026-04-18,441
628,2026-01-22,263
629,2026-06-03,21
630,2026-11-25,202
631,2026-12-02,243
632,2026-05-25,376
633,2026-05-29,448
634,2026-07-30,314
635,2026-04-26,216
636,2026-09-12,101
637,2026-09-20,327
638,2026-06-24,243
639,2026-07-14,144
640,2026-11-21,464
641,2026-11-01,162
642,2026-09-14,378
643,2026-03-18,399
644,2026-07-02,206
645,2026-06-02,209
646,2026-07-20,71
647,2026-09-18,308
648,2026-09-01,51
649,2026-12-15,443
650,2026-10-28,115
651,2026-11-21,107
652,2026-03-20,22
653,2026-01-16,98
654,2026-07-23,423
655,2026-10-11,435
656,2026-08-24,216
657,2026-01-11,276
658,2026-03-02,268
659,2026-04-26,169
660,2026-02-27,260
661,2026-09-22,364
662,2026-04-10,325
663,2026-11-22,405
664,2026-05-15,407
665,2026-12-15,95
666,2026-08-21,139
667,2026-01-19,250
668,2026-04-21,167
669,2026-05-28,350
670,2026-11-16,121
671,2026-02-26,243
672,2026-05-25,242
673,2026-01-12,437
674,2026-11-26,316
675,2026-07-13,98
676,2026-03-26,401
677,2026-11-08,234
678,2026-01-16,279
679,2026-06-16,3
680,2026-11-09,212
681,2026-03-18,157
682,2026-10-09,352
683,2026-07-01,409
684,2026-03-28,434
685,2026-06-15,310
686,2026-12-27,267
687,2026-11-21,438
688,2026-09-04,161
689,2026-09-17,433
690,2026-01-16,413
691,2026-02-11,398
692,2026-09-15,255
693,2026-03-23,301
694,2026-11-17,265
695,2026-10-23,390
696,2026-09-16,388
697,2026-06-13,93
698,2026-12-08,458
699,2026-02-24,255
700,2026-08-14,369
701,2026-03-05,89
702,2026-04-25,426
703,2026-08-17,308
704,2026-01-29,113
705,2026-02-26,291
706,2026-09-16,80
707,2026-05-18,473
708,2026-11-02,481
709,2026-04-15,452
710,2026-08-28,452
711,2026-04-28,426
712,2026-12-04,12
713,2026-02-25,1
714,2026-03-13,406
715,2026-02-07,273
716,2026-11-15,314
717,2026-11-19,335
718,2026-05-29,183
719,2026-06-10,92
720,2026-07-04,29
721,2026-09-25,319
722,2026-07-23,141
723,2026-05-12,211
724,2026-01-24,103
725,2026-05-20,404
726,2026-12-15,376
727,2026-07-22,56
728,2026-05-31,118
729,2026-03-29,389
730,2026-09-20,390
731,2026-07-14,395
732,2026-11-07,109
733,2026-03-24,93
734,2026-06-12,374
735,2026-03-31,12
736,2026-01-28,369
737,2026-02-01,273
738,2026-05-28,203
739,2026-02-08,445
740,2026-08-13,367
741,2026-02-12,481
742,2026-05-19,118
743,2026-04-06,164
744,2026-02-12,95
745,2026-11-15,152
746,2026-06-11,267
747,2026-09-10,177
748,2026-07-22,131
749,2026-10-26,282
750,2026-11-10,481
751,2026-02-27,372
752,2026-11-12,223
753,2026-08-30,317
754,2026-04-24,120
755,2026-01-02,301
756,2026-02-15,345
757,2026-07-03,4
758,2026-08-12,130
759,2026-01-12,156
760,2026-10-24,283
761,2026-09-05,205
762,2026-01-29,274
763,2026-06-21,119
764,2026-05-14,154
765,2026-12-02,401
766,2026-04-18,197
767,2026-11-03,265
768,2026-06-29,153
769,2026-11-13,335
770,2026-08-29,423
771,2026-11-01,423
772,2026-06-12,21
773,2026-09-30,234
774,2026-06-13,469
775,2026-02-15,355
776,2026-11-27,196
777,2026-06-11,278
778,2026-06-03,383
779,2026-10-19,500
780,2026-01-10,200
781,2026-05-31,257
782,2026-05-24,58
783,2026-07-29,442
784,2026-12-28,280
785,2026-01-02,151
786,2026-10-10,411
787,2026-11-30,11
788,2026-07-01,424
789,2026-08-15,138
790,2026-04-17,43
791,2026-03-12,427
792,2026-06-19,306
793,2026-03-23,10
794,2026-01-22,218
795,2026-11-21,304
796,2026-02-09,363
797,2026-11-24,338
798,2026-04-11,483
799,2026-04-23,130
800,2026-12-23,121
801,2026-10-19,87
802,2026-06-11,179
803,2026-10-13,334
804,2026-08-21,222
805,2026-10-26,167
806,2026-12-01,77
807,2026-09-02,354
808,2026-09-22,267
809,2026-04-02,106
810,2026-12-13,165
811,2026-05-06,296
812,2026-01-22,39
813,2026-08-21,465
814,2026-01-01,64
815,2026-09-29,217
816,2026-12-22,160
817,2026-04-15,146
818,2026-01-26,129
819,2026-04-10,409
820,2026-04-04,445
821,2026-10-20,90
822,2026-03-02,77
823,2026-04-11,287
824,2026-08-21,70
825,2026-06-10,262
826,2026-11-06,375
827,2026-08-11,422
828,2026-04-09,264
829,2026-09-30,183
830,2026-05-10,321
831,2026-08-31,253
832,2026-03-17,172
833,2026-10-26,207
834,2026-09-03,135
835,2026-04-17,306
836,2026-08-29,424
837,2026-05-05,492
838,2026-01-14,266
839,2026-10-18,215
840,2026-01-08,415
841,2026-06-17,291
842,2026-01-25,396
843,2026-07-24,137
844,2026-03-10,214
845,2026-04-03,243
846,2026-11-23,212
847,2026-12-11,445
848,2026-09-12,108
849,2026-09-29,416
850,2026-09-11,320
851,2026-01-19,348
852,2026-10-08,127
853,2026-08-05,397
854,2026-09-13,198
855,2026-07-15,389
856,2026-04-11,216
857,2026-05-14,145
858,2026-11-08,273
859,2026-02-25,371
860,2026-08-30,86
861,2026-08-06,319
862,2026-02-16,486
863,2026-12-14,217
864,2026-10-11,308
865,2026-07-26,94
866,2026-05-21,91
867,2026-06-08,276
868,2026-05-08,104
869,2026-03-25,354
870,2026-04-20,44
871,2026-04-06,224
872,2026-05-29,361
873,2026-04-05,350
874,2026-04-22,381
875,2026-04-20,458
876,2026-11-18,426
877,2026-01-09,340
878,2026-02-14,415
879,2026-01-27,123
880,2026-01-08,318
881,2026-09-30,6
882,2026-07-02,273
883,2026-12-21,451
884,2026-01-20,181
885,2026-04-19,319
886,2026-03-17,302
887,2026-12-21,133
888,2026-12-13,457
889,2026-10-21,133
890,2026-10-09,357
891,2026-07-30,119
892,2026-09-11,297
893,2026-07-07,297
894,2026-02-11,271
895,2026-03-17,219
896,2026-04-18,180
897,2026-09-17,430
898,2026-09-13,9
899,2026-05-08,403
900,2026-06-27,95
901,2026-08-06,72
902,2026-02-09,297
903,2026-02-01,172
904,2026-07-28,51
905,2026-11-07,64
906,2026-10-22,51
907,2026-04-13,59
908,2026-11-02,40
909,2026-10-21,266
910,2026-01-23,415
911,2026-02-20,361
912,2026-12-19,341
913,2026-07-01,248
914,2026-01-02,492
915,2026-02-07,296
916,2026-09-18,381
917,2026-08-12,90
918,2026-05-27,258
919,2026-11-02,196
920,2026-09-06,473
921,2026-05-29,347
922,2026-10-03,478
923,2026-08-02,192
924,2026-11-06,168
925,2026-09-14,273
926,2026-02-15,60
927,2026-02-21,425
928,2026-06-14,479
929,2026-08-04,78
930,2026-04-29,223
931,2026-10-16,102
932,2026-04-05,269
933,2026-05-25,219
934,2026-07-08,136
935,2026-03-03,110
936,2026-03-08,350
937,2026-05-17,71
938,2026-12-23,131
939,2026-12-05,88
940,2026-09-03,236
941,2026-10-01,158
942,2026-11-05,441
943,2026-06-01,122
944,2026-04-23,359
945,2026-01-03,458
946,2026-05-13,165
947,2026-08-23,214
948,2026-02-05,76
949,2026-05-28,206
950,2026-11-21,195
951,2026-05-18,89
952,2026-07-18,247
953,2026-08-05,201
954,2026-09-01,86
955,2026-11-05,237
956,2026-11-07,439
957,2026-03-22,492
958,2026-06-17,267
959,2026-10-23,388
960,2026-11-24,473
961,2026-11-10,500
962,2026-05-28,171
963,2026-09-12,48
964,2026-06-18,79
965,2026-10-27,311
966,2026-05-20,12
967,2026-04-26,91
968,2026-10-03,316
969,2026-06-16,272
970,2026-09-26,177
971,2026-10-30,151
972,2026-09-04,475
973,2026-06-06,103
974,2026-12-13,55
975,2026-11-26,338
976,2026-08-07,475
977,2026-07-16,57
978,2026-10-06,134
979,2026-01-29,313
980,2026-05-27,385
981,2026-10-06,306
982,2026-08-07,244
983,2026-04-21,407
984,2026-05-19,137
985,2026-06-01,477
986,2026-05-19,19
987,2026-12-29,44
988,2026-01-07,83
989,2026-01-10,127
990,2026-09-09,269
991,2026-07-11,374
992,2026-09-06,456
993,2026-06-28,252
994,2026-07-09,295
995,2026-10-17,238
996,2026-04-16,25
997,2026-08-18,139
998,2026-05-31,467
999,2026-11-18,405
1000,2026-09-30,317
1001,2026-07-19,86
1002,2026-03-15,421
1003,2026-07-04,467
1004,2026-12-31,146
1005,2026-09-03,288
1006,2026-09-25,165
1007,2026-03-22,171
1008,2026-11-05,493
1009,2026-10-08,405
1010,2026-01-12,385
1011,2026-04-20,297
1012,2026-09-21,359
1013,2026-05-03,347
1014,2026-04-17,343
1015,2026-10-29,405
1016,2026-08-23,5
1017,2026-07-20,379
1018,2026-04-23,371
1019,2026-01-19,260
1020,2026-02-08,341
1021,2026-02-25,191
1022,2026-01-31,221
1023,2026-09-26,254
1024,2026-08-26,91
1025,2026-02-19,192
1026,2026-01-18,41
1027,2026-07-16,314
1028,2026-08-27,335
1029,2026-04-17,160
1030,2026-07-23,391
1031,2026-05-02,245
1032,2026-06-03,225
1033,2026-02-04,395
1034,2026-10-14,113
1035,2026-03-16,241
1036,2026-01-01,472
1037,2026-12-21,474
1038,2026-02-15,259
1039,2026-06-09,254
1040,2026-05-27,3
1041,2026-07-07,463
1042,2026-04-13,208
1043,2026-08-01,278
1044,2026-05-31,23
1045,2026-10-16,151
1046,2026-04-09,309
1047,2026-03-22,107
1048,2026-08-12,3
1049,2026-06-24,467
1050,2026-09-25,44
1051,2026-03-08,402
1052,2026-06-06,389
1053,2026-09-13,487
1054,2026-06-16,171
1055,2026-10-21,367
1056,2026-09-08,50
1057,2026-01-08,390
1058,2026-10-14,255
1059,2026-07-09,56
1060,2026-06-09,83
1061,2026-01-23,257
1062,2026-09-14,160
1063,2026-08-21,47
1064,2026-11-12,195
1065,2026-04-24,240
1066,2026-07-20,316
1067,2026-11-21,414
1068,2026-01-22,424
1069,2026-10-04,337
1070,2026-10-25,206
1071,2026-07-21,421
1072,2026-02-19,196
1073,2026-02-26,177
1074,2026-05-04,308
1075,2026-09-12,396
1076,2026-08-26,451
1077,2026-11-08,141
1078,2026-12-08,264
1079,2026-12-04,86
1080,2026-11-02,133
1081,2026-10-04,82
1082,2026-05-26,370
1083,2026-07-27,407
1084,2026-12-18,488
1085,2026-04-03,105
1086,2026-04-10,267
1087,2026-01-25,122
1088,2026-12-17,138
1089,2026-09-14,104
1090,2026-06-20,57
1091,2026-06-14,372
1092,2026-10-19,304
1093,2026-07-13,456
1094,2026-04-28,95
1095,2026-05-22,277
1096,2026-02-05,396
1097,2026-03-30,452
1098,2026-09-30,398
1099,2026-03-05,195
1100,2026-03-24,391
1101,2026-02-04,331
1102,2026-10-30,233
1103,2026-01-10,310
1104,2026-08-02,62
1105,2026-08-18,334
1106,2026-03-31,100
1107,2026-06-27,108
1108,2026-01-14,348
1109,2026-07-04,304
1110,2026-12-10,426
1111,2026-10-16,184
1112,2026-04-04,56
1113,2026-06-17,154
1114,2026-10-12,46
1115,2026-09-12,276
1116,2026-09-01,467
1117,2026-09-24,465
1118,2026-12-06,22
1119,2026-03-04,165
1120,2026-10-16,214
1121,2026-10-01,159
1122,2026-12-13,158
1123,2026-08-08,185
1124,2026-04-27,152
1125,2026-10-12,228
1126,2026-11-30,299
1127,2026-10-28,29
1128,2026-11-20,440
1129,2026-10-31,99
1130,2026-07-16,6
1131,2026-12-05,171
1132,2026-04-20,329
1133,2026-09-12,296
1134,2026-06-10,217
1135,2026-09-11,144
1136,2026-07-21,42
1137,2026-12-12,98
1138,2026-01-09,270
1139,2026-06-10,241
1140,2026-08-27,118
1141,2026-10-04,463
1142,2026-08-09,76
1143,2026-11-20,354
1144,2026-10-26,447
1145,2026-12-17,54
1146,2026-05-04,228
1147,2026-01-01,488
1148,2026-12-24,431
1149,2026-10-20,173
1150,2026-05-23,183
1151,2026-03-06,386
1152,2026-04-19,89
1153,2026-09-26,478
1154,2026-01-20,379
1155,2026-11-23,222
1156,2026-10-19,380
1157,2026-07-19,37
1158,2026-12-09,115
1159,2026-02-01,464
1160,2026-05-12,190
1161,2026-03-22,344
1162,2026-03-04,266
1163,2026-01-21,39
1164,2026-11-24,195
1165,2026-06-07,207
1166,2026-03-09,334
1167,2026-05-16,274
1168,2026-12-11,155
1169,2026-09-02,125
1170,2026-02-03,225
1171,2026-02-12,215
1172,2026-01-06,257
1173,2026-03-12,259
1174,2026-01-07,367
1175,2026-06-06,433
1176,2026-10-18,27
1177,2026-05-25,204
1178,2026-03-20,401
1179,2026-12-19,162
1180,2026-09-09,196
1181,2026-02-09,186
1182,2026-01-24,410
1183,2026-12-11,361
1184,2026-04-23,159
1185,2026-02-10,239
1186,2026-03-30,198
1187,2026-12-26,121
1188,2026-08-21,282
1189,2026-01-13,257
1190,2026-11-14,190
1191,2026-10-05,265
1192,2026-04-19,227
1193,2026-09-17,58
1194,2026-01-19,484
1195,2026-01-13,273
1196,2026-12-22,213
1197,2026-01-11,79
1198,2026-05-30,441
1199,2026-06-03,492
1200,2026-01-12,170
1201,2026-01-17,459
1202,2026-02-10,58
1203,2026-03-26,122
1204,2026-08-26,111
1205,2026-12-07,352
1206,2026-07-16,70
1207,2026-05-18,427
1208,2026-10-03,366
1209,2026-07-28,415
1210,2026-04-07,208
1211,2026-01-14,84
1212,2026-08-30,229
1213,2026-12-25,363
1214,2026-07-05,393
1215,2026-06-10,227
1216,2026-04-18,133
1217,2026-12-05,191
1218,2026-07-07,182
1219,2026-05-03,460
1220,2026-02-20,80
1221,2026-06-20,265
1222,2026-10-16,201
1223,2026-12-05,207
1224,2026-01-14,70
1225,2026-08-12,247
1226,2026-07-15,53
1227,2026-06-16,26
1228,2026-05-05,69
1229,2026-10-04,22
1230,2026-04-08,354
1231,2026-12-14,479
1232,2026-11-16,49
1233,2026-12-22,322
1234,2026-03-24,339
1235,2026-11-29,136
1236,2026-02-28,497
1237,2026-11-29,261
1238,2026-06-12,154
1239,2026-06-09,229
1240,2026-03-31,77
1241,2026-08-19,490
1242,2026-12-30,140
1243,2026-11-01,296
1244,2026-05-29,372
1245,2026-07-14,49
1246,2026-06-23,435
1247,2026-05-30,8
